Source,Target,Label,Weight
chiuni,ChiUniPsych,psychology,4
HECParis,faivre_tavignot,artificial intelligence,1
CitizensUK,Petebrierley,entrepreneurship,1
Anfarey,NYDailyNews,social media,1
RobertGordonUni,CScotIC,innovation,1
Polytechnique,JNB__X,innovation,1
RobinKwong,RIBA_London,architecture,1
Rohit40997321,NYDailyNews,social media,1
cialanis,NYDailyNews,social media,1
ellaadoran,NYDailyNews,social media,1
EcoNerd_I_Am,NYDailyNews,social media,1
uclh,UCL_OVPA,patients,1
steve_mccabe,BHPComms,cancer,6
bmj_latest,UniofOxford,artificial intelligence,2
Leic_hospital,RutlandLL,cancer,3
bohaynowell,GilesYeo,cell,2
teresanorth,Farm491,physics,1
JANUSZCZAK,aribreist,biological,2
DataSciTechScot,DataSciRookie,artificial intelligence,2
philip_ciwf,FAJagoda,sustainability,1
Sexmurderbass,NYDailyNews,social media,1
debbiemanley,SalfordUniNews,drones,2
morriseric,ITyndall,psychology,1
sassmajesty,UofGMVLS,infection,2
me_satyaa,NYDailyNews,social media,1
ProfSteveKeen,EwaKarwowski,economics,1
FalmouthUni,JemJ13,innovation,1
divinecharizma,NYDailyNews,social media,1
NorthumbriaUni,peoplesvoice,innovation,1
monggaard,JeanetBentzen,economics,1
pinchehugs,NYDailyNews,social media,1
BriscoeTanayia,NYDailyNews,social media,1
Drjohnhorgan,OrlaLynch_ol,criminology,2
warwickuni,AllyUoWPhysics,physics,1
baasitsiddiqui,bevcr,entrepreneurship,1
bhannan,NYDailyNews,social media,1
jiddler62,NYDailyNews,social media,1
juleitzya_,NYDailyNews,social media,1
ktrashtm_,NYDailyNews,social media,1
sursmi,LyttOss,artificial intelligence,1
portsmouthuni,NyeSaunders,architecture,1
IrishCancerSoc,AppSocScs_LIT,cancer,1
Gar1e,UofGMVLS,infection,2
LSBU,LSBU_HSC,healthcare,2
CraigProfessor,BCU_Psychology,psychology,1
UniUtrecht,UniBarcelona,sustainability,1
UTwente,RBurie,healthcare,2
CHRGatKCL,r4hcmena,healthcare,1
dmuleicester,DMUSpecialColls,artificial intelligence,1
Cranfield_RIO,NofScotland_KTP,chemistry,1
DanMulhall,DanMulhall,climate change,1
sisterdanielst1,NYDailyNews,social media,1
Technologiepark,DumeleLab,chemistry,1
colaistetreasa,Fedwards_,artificial intelligence,1
UoMNews,OfficialUoM,diabetes,1
covcampus,CUITServiceDesk,cyber security,3
DublinCityUni,InspirefestHQ,innovation,2
johnpeavoy,Smarttech01,cyber security,1
ks_1968,NYDailyNews,social media,1
BjornKHaugland,UiBrector_Olsen,sustainability,1
RickyRaka9,NYDailyNews,social media,1
JayAnn980,NYDailyNews,social media,1
yrodriguez6530,NYDailyNews,social media,1
Write4Research,AWHarzing,social media,2
MazzucatoM,HertfordCollege,innovation,1
Veritas_Tweets,ben_derbyshire,architecture,1
HollyJessup,NYDailyNews,social media,1
johnwalsh88,VoiceofNursing_,healthcare,1
BodleianHCL,oxforduni_repo,diabetes,1
Uni_of_Essex,EssexSocSci,cyber security,1
BristolUni,CMMBristol,cell,3
resilientwoman8,GilesYeo,cell,2
cindyinchaos,NYDailyNews,social media,1
OrlaFlynnCIT,rubiconcentre,entrepreneurship,2
dmuleicester,DMUArchitecture,architecture,1
UniofExeter,edenproject,sustainability,1
11thHourLib,NYDailyNews,social media,1
GagneLegal,connect2teach,artificial intelligence,3
BristolUni,bristol_smart,artificial intelligence,2
paulducheine,DennisBroeders,cyber security,1
luisabrimble,jolennan,climate change,2
YourStMarys,CarlaMeijen,psychology,1
IMOHQ,WMUHQ,economics,1
TheRealXtinaP,NYDailyNews,social media,1
fester_thomas,MyGoodPlanet,climate change,2
UniWestScotland,N1colaHay,sustainability,1
naomitimperley,SalfordUniNews,psychology,1
AngeCMJ,UCDinnovation,cancer,3
realscientists,NMI_DE,artificial intelligence,1
philbabe,NYDailyNews,social media,1
kajolpat3l,NYDailyNews,social media,1
Sundownocean,NYDailyNews,social media,1
PabloGoP,NYDailyNews,social media,1
sciencespo,txst,cancer,1
geosolshawna,NYDailyNews,social media,1
RebeccaLuff,fringeacademy,social media,1
BrendaStrachan,royalsociety,physicist,3
covcampus,CU_FutureLets,physics,1
ucddublin,ei_canada,healthcare,1
kate_wall98,PhilipTonner,physics,1
unisouthampton,socimpsoton,sustainability,1
IPBES,IPBES,artificial intelligence,2
umaprasadt,NYDailyNews,social media,1
tuecursor,TUeHTSC,innovation,2
RNCMvoice,hannahmccabe01,entrepreneurship,1
Harry_Newton_,alistairbeech,social media,1
kimleannelliot,NYDailyNews,social media,1
WCumbriaCarers,suvolunteering,social media,1
nicolasnicola22,HistAstro,astronomy,1
ISBUSA,CCThinnes,biological,3
UniofOxford,DailyInfoOxford,physics,1
univgroningen,EurekAlert,biological,2
xgracejohannax,NYDailyNews,social media,1
UEL_News,KnowledgeDockBC,entrepreneurship,2
suemarietta,NYDailyNews,social media,1
UniWestScotland,UWS_hockey,cancer,2
CambridgeJBS,kavadias_s,innovation,1
villetolvanen,FinlandinCanada,artificial intelligence,1
Unicorn46289264,NYDailyNews,social media,1
ImperialNHS,DrLynneSykes,patients,1
inez0106,NYDailyNews,social media,1
UniCreativeArts,cantarch,architecture,4
CSSDLondon,DrNickyA,patients,1
SwanseaUni,MPBAUK,sustainability,1
evildollhouse,NYDailyNews,social media,1
JarlathOBrien,MsJoBillington,psychology,1
ouffjulia,NYDailyNews,social media,1
imperialcollege,ImperialAI,artificial intelligence,1
